member_id,age,loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
51340603,38,15000,15000,15000,60 months,BAT1184694,13.33,C,C3,Sr. HR Business,10+ years,MORTGAGE,88000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,127xx,NY,12.98,0,1,58,56,8,1,7466,53.3,34,w,1254.42,0,0,0,0,58,INDIVIDUAL,NULL,35th week,0,0,46894,14000,0
45341235,42,13700,13700,13700,36 months,NULL,17.57,D,D4,Mgr,5 years,MORTGAGE,65000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,370xx,TN,18.69,0,0,70,54,7,2,4643,55.3,16,f,1792.61,0,0,0,0,70,INDIVIDUAL,NULL,44th week,0,656,207625,8400,0
14980406,44,5600,5600,5600,36 months,BAT2522922,13.65,C,C1,Manager,10+ years,RENT,81000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,114xx,NY,6.77,0,0,36,43,4,1,770,27.5,9,w,985.02,0,0,0,0,36,INDIVIDUAL,NULL,91th week,0,0,14147,2800,1
71326089,44,5000,5000,5000,36 months,BAT2803411,9.17,B,B2,Audit Manager,2 years,RENT,124500,Source Verified,n,NULL,medical,Medical expenses,194xx,PA,18.29,0,1,29,63,20,1,16935,57.2,30,w,35.66,0,0,0,0,44,INDIVIDUAL,NULL,4th week,0,0,109651,29600,0
45440963,26,24000,24000,24000,60 months,BAT4136152,8.18,B,B1,Sales Director,8 years,MORTGAGE,220000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,303xx,GA,10.33,6,0,7,120,13,1,32099,71.5,35,w,1523.53,0,0,0,0,7,INDIVIDUAL,NULL,44th week,0,0,75112,44900,0
55305964,41,10875,10875,10875,36 months,BAT3726927,19.99,E,E4,Owner,10+ years,RENT,159000,Not Verified,n,NULL,small_business,Business,275xx,NC,3.79,0,1,45,55,6,4,1306,19.8,24,f,1163.77,0,0,0,0,45,INDIVIDUAL,NULL,31th week,0,19478,24188,6600,0
13128522,55,20000,20000,20000,36 months,NULL,16.99,D,D1,nurse,10+ years,MORTGAGE,70000,Source Verified,n,NULL,home_improvement,Home improvement,023xx,MA,15.31,0,1,31,41,6,1,6183,38.2,21,f,4809.3,0,0,0,0,36,INDIVIDUAL,NULL,104th week,0,0,230077,16200,0
18523999,67,13000,13000,13000,36 months,BAT2136391,10.99,B,B3,Supervising Producer,10+ years,RENT,101000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,908xx,CA,13.36,0,1,50,51,7,1,13583,71.9,25,f,1756.27,0,0,0,0,50,INDIVIDUAL,NULL,83th week,0,0,36930,18900,0
64806405,56,16000,16000,16000,60 months,NULL,12.69,C,C2,Manager,2 years,MORTGAGE,100000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,786xx,TX,10.33,1,1,22,60,13,1,8394,57.9,27,w,490.2,0,0,0,0,38,INDIVIDUAL,NULL,13th week,0,440,215033,14500,0
7212271,53,6000,6000,6000,36 months,BAT2833642,15.8,C,C3,ESPN,5 years,MORTGAGE,75000,Verified,n,NULL,debt_consolidation,Debt consolidation,297xx,SC,12.74,1,1,10,33,11,2,4033,43.8,19,f,1188,0,0,0,0,81,INDIVIDUAL,NULL,83th week,0,0,215895,9200,1
56458922,68,13200,13200,13200,36 months,NULL,18.25,E,E1,manager,7 years,MORTGAGE,43000,Source Verified,n,NULL,other,Other,953xx,CA,11.99,0,1,48,38,14,1,9722,43.2,18,f,1126.37,0,0,0,0,48,INDIVIDUAL,NULL,26th week,0,174,247430,22500,0
69990488,31,21000,21000,21000,60 months,NULL,18.49,E,E2,PAYROLL ASSOCIATE,10+ years,RENT,107300,Source Verified,n,NULL,debt_consolidation,Debt consolidation,945xx,CA,11.4,0,1,58,49,15,1,6740,67.4,41,w,622.26,0,0,0,0,73,INDIVIDUAL,NULL,9th week,0,240,30496,10000,0
44039080,59,10000,10000,10000,36 months,NULL,9.17,B,B2,Loan adjustor,7 years,RENT,70000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,956xx,CA,20.45,0,0,73,75,9,1,6026,64.1,27,f,500.96,0,0,0,0,73,INDIVIDUAL,NULL,30th week,0,0,46613,9400,1
40513586,32,20000,20000,20000,36 months,BAT4722912,6.99,A,A3,Vice president,5 years,RENT,300000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,303xx,GA,5.91,0,0,44,17,8,1,9214,40.1,23,f,1193.85,0,0,0,0,73,INDIVIDUAL,NULL,52th week,0,0,77424,23000,0
69833371,49,10000,10000,10000,36 months,BAT1586599,9.17,B,B2,NULL,n/a,RENT,35000,Source Verified,n,NULL,credit_card,Credit card refinancing,483xx,MI,11.11,1,0,11,115,6,1,6762,33.3,20,f,66.23,0,0,0,1,11,INDIVIDUAL,NULL,9th week,0,97,11780,20300,0
67569926,42,14875,14875,14875,36 months,BAT1586599,16.99,D,D3,Police Officer,10+ years,RENT,55000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,926xx,CA,29.43,1,1,23,93,11,1,6042,35.1,25,f,395.62,0,0,0,0,23,INDIVIDUAL,NULL,9th week,0,0,43035,17200,0
45018390,78,6000,6000,6000,36 months,BAT4136152,6.92,A,A4,president,10+ years,RENT,50000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,226xx,VA,9.39,0,1,60,45,6,1,5025,41.5,31,w,301.74,0,0,0,0,60,INDIVIDUAL,NULL,44th week,0,19893,16862,12100,0
31306097,32,5000,5000,5000,36 months,BAT2078974,10.15,B,B2,NULL,n/a,RENT,34000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,958xx,CA,22.38,0,1,79,115,16,1,5712,34.8,19,f,531.64,0,0,0,0,79,INDIVIDUAL,NULL,65th week,0,4408,12041,16400,0
60334393,33,20000,20000,20000,36 months,BAT1780517,14.65,C,C5,Sales,< 1 year,MORTGAGE,70000,Verified,n,NULL,moving,Moving and relocation,972xx,OR,23.09,0,1,64,47,11,2,7236,45.2,32,w,1133.19,0,0,0,0,72,INDIVIDUAL,NULL,22th week,0,0,111218,16000,0
61437327,23,3000,3000,3000,36 months,NULL,12.29,C,C1,lvn/director medical records,4 years,RENT,52000,Source Verified,n,NULL,other,Other,908xx,CA,20.52,0,0,40,40,12,1,5849,67.2,24,f,116.56,0,0,0,0,48,INDIVIDUAL,NULL,17th week,0,0,35919,8700,0
44836825,38,10000,10000,10000,36 months,BAT4136152,11.53,B,B5,letter carrier,10+ years,RENT,90000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,070xx,NJ,6.72,1,2,20,38,11,1,5973,43.9,41,w,850.69,0,0,0,0,48,INDIVIDUAL,NULL,44th week,0,51,11108,13600,0
18484443,36,8000,8000,8000,36 months,BAT2136391,13.35,C,C2,Surgical Sterile Processing Tech,3 years,MORTGAGE,67000,Not Verified,n,NULL,home_improvement,Home improvement,066xx,CT,15.37,1,0,12,58,22,1,47271,38.5,37,w,1322.12,0,0,0,0,50,INDIVIDUAL,NULL,87th week,0,3578,157615,63500,0
43950140,52,14450,14450,14450,36 months,NULL,18.25,E,E1,president,9 years,RENT,85000,Not Verified,n,NULL,other,Other,601xx,IL,19.71,0,4,77,65,16,1,7081,39.1,29,f,1871.25,0,0,0,0,77,INDIVIDUAL,NULL,39th week,0,0,45661,18100,0
15560446,32,35000,35000,35000,60 months,NULL,18.25,D,D3,Life Cycle Logistics,10+ years,MORTGAGE,78000,Verified,n,NULL,home_improvement,Home improvement,224xx,VA,20.9,1,0,19,30,11,2,18298,54.3,44,f,9500.26,0,0,0,0,19,INDIVIDUAL,NULL,87th week,0,231,43421,33700,0
41340598,32,12000,12000,12000,36 months,BAT4694572,8.67,B,B1,machinist,5 years,MORTGAGE,50000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,440xx,OH,27.73,0,2,38,52,19,1,10080,37.6,39,f,885.67,0,0,0,0,62,INDIVIDUAL,NULL,52th week,0,0,93547,26800,0
13127837,34,6000,6000,6000,36 months,NULL,12.85,B,B4,Assistant Service Manager,3 years,MORTGAGE,81000,Verified,n,NULL,home_improvement,Home improvement,212xx,MD,6.36,0,1,30,9,19,1,848,1.8,27,w,1075.78,0,0,0,0,30,INDIVIDUAL,NULL,100th week,0,0,195921,47300,0
49860238,55,7475,7475,7475,36 months,BAT1184694,14.65,C,C5,custodian,10+ years,MORTGAGE,40000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,925xx,CA,27.36,0,0,66,58,9,1,4519,61.1,29,w,665.62,0,0,0,0,66,INDIVIDUAL,NULL,35th week,0,67,23046,7400,0
51673885,26,15000,15000,15000,36 months,NULL,13.99,C,C4,LPN,10+ years,MORTGAGE,43351,Source Verified,n,NULL,debt_consolidation,Debt consolidation,178xx,PA,32.28,0,0,38,57,14,2,4795,51.6,22,f,1274.49,0,0,0,0,76,INDIVIDUAL,NULL,35th week,0,0,105006,9300,0
46436293,32,12000,12000,12000,60 months,BAT4136152,13.33,C,C3,Direct Support,< 1 year,RENT,32000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,421xx,KY,15.27,0,0,78,72,9,1,2872,22.4,27,w,1189.01,0,0,0,0,78,INDIVIDUAL,NULL,44th week,0,0,140054,12800,0
41362943,61,29000,29000,29000,60 months,BAT4694572,14.99,C,C5,NULL,n/a,RENT,65100,Verified,n,NULL,credit_card,Credit card refinancing,925xx,CA,23.61,0,0,60,57,11,1,19341,65.8,29,f,4041.38,0,0,0,0,70,INDIVIDUAL,NULL,52th week,0,0,69936,29400,0
64667572,45,4000,4000,4000,36 months,BAT4271519,16.55,D,D2,NULL,n/a,RENT,46000,Source Verified,n,NULL,other,Other,919xx,CA,33.13,0,1,74,72,15,1,9345,32.6,38,w,158.22,0,0,0,0,74,INDIVIDUAL,NULL,17th week,0,0,35805,28700,0
37546595,37,17000,17000,17000,36 months,NULL,8.67,B,B1,RN,< 1 year,RENT,108000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,902xx,CA,18.07,0,1,51,69,8,1,15677,70,24,f,1419.73,0,0,0,0,51,INDIVIDUAL,NULL,61th week,0,0,80937,22400,1
49962844,38,10000,10000,10000,36 months,BAT1184694,14.65,C,C5,NULL,n/a,MORTGAGE,60432,Verified,n,NULL,other,Other,142xx,NY,25.44,1,0,1,114,8,1,13158,52.6,14,f,890.45,0,0,0,0,6,INDIVIDUAL,NULL,35th week,1,648,38334,25000,0
64905257,34,12000,12000,12000,36 months,BAT2252229,14.65,C,C5,Tax researcher,5 years,RENT,41308.8,Source Verified,n,NULL,debt_consolidation,Debt consolidation,333xx,FL,30.54,0,1,69,82,20,1,18220,57.5,21,w,410.14,0,0,0,0,69,INDIVIDUAL,NULL,13th week,0,0,29160,31700,0
66135102,53,20000,20000,20000,60 months,NULL,17.57,D,D4,Executive Board Member Delegate,10+ years,RENT,116363.5,Verified,n,NULL,other,Other,114xx,NY,12.34,1,3,54,33,17,1,9683,23,25,f,849.69,0,0,0,0,19,INDIVIDUAL,NULL,13th week,0,0,30276,41256,0
11618360,48,10000,10000,10000,36 months,BAT5629144,13.98,C,C1,RBS Specialist,10+ years,RENT,73000,Verified,n,NULL,debt_consolidation,Simplifying,370xx,TN,18.38,0,0,28,73,15,1,16083,31.4,42,f,951.36,0,0,0,0,92,INDIVIDUAL,NULL,39th week,0,0,52821,51300,1
41213379,57,24000,24000,24000,60 months,NULL,12.39,C,C1,engineering specialist,10+ years,RENT,110000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,616xx,IL,5.74,0,0,49,53,5,1,12276,80.8,39,w,2735.41,0,0,0,0,49,INDIVIDUAL,NULL,52th week,0,0,18637,15200,0
67529164,33,23925,23925,23925,60 months,BAT2252229,18.55,E,E2,Customer Service,10+ years,MORTGAGE,47881.16,Source Verified,n,NULL,debt_consolidation,Debt consolidation,296xx,SC,35.36,0,1,54,65,19,2,16768,61.9,38,w,711.24,0,0,0,0,54,INDIVIDUAL,NULL,9th week,0,865,124490,27100,0
42583115,36,5000,5000,5000,36 months,BAT4694572,14.99,C,C5,Word Processor,6 years,RENT,60000,Verified,n,NULL,debt_consolidation,Debt consolidation,852xx,AZ,33.94,0,1,50,61,10,1,6095,83.5,36,w,643.78,0,0,0,0,68,INDIVIDUAL,NULL,52th week,0,0,37717,7300,0
17433076,54,2800,2800,2800,36 months,BAT2136391,14.64,C,C3,Director of Corp. Development,4 years,RENT,67080,Verified,n,NULL,debt_consolidation,Debt consolidation,770xx,TX,14.97,1,4,63,93,9,1,2774,51,21,w,527.35,0,0,0,0,33,INDIVIDUAL,NULL,87th week,0,180,27852,5400,0
57185671,41,11050,11050,11050,36 months,NULL,13.99,C,C4,Coding Supervisor,6 years,RENT,78500,Source Verified,n,NULL,debt_consolidation,Debt consolidation,105xx,NY,18.67,0,1,48,34,10,2,4446,39.7,22,w,85.89,0,0,0,0,50,INDIVIDUAL,NULL,0th week,0,1150,36310,11200,1
14718382,63,10000,10000,9900,36 months,BAT2522922,10.99,B,B2,NULL,n/a,MORTGAGE,49560,Verified,n,NULL,debt_consolidation,Debt consolidation,303xx,GA,9.98,1,1,23,62,13,2,4893,34,49,f,1484.25,0,0,0,0,32,INDIVIDUAL,NULL,96th week,0,0,262383,14600,0
14987846,48,10000,10000,10000,36 months,BAT2522922,12.99,B,B5,Detective,10+ years,RENT,75000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,934xx,CA,6.08,0,0,67,62,9,1,14181,39,30,w,1716.03,0,0,0,0,67,INDIVIDUAL,NULL,96th week,0,0,14181,36400,0
14498695,48,25000,25000,25000,36 months,BAT2522922,14.64,C,C3,manager,10+ years,MORTGAGE,100000,Verified,n,NULL,debt_consolidation,Debt consolidation,633xx,MO,7.82,0,3,26,39,6,1,20050,8.7,30,f,5004.12,0,0,0,0,26,INDIVIDUAL,NULL,96th week,0,0,403165,51500,0
19485559,56,12000,12000,12000,36 months,BAT2136391,12.99,C,C1,installer,10+ years,MORTGAGE,54000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,551xx,MN,7.18,0,0,79,63,5,1,12667,73,23,w,1873.07,0,0,0,0,132,INDIVIDUAL,NULL,83th week,0,0,187261,17450,1
11931798,51,20000,20000,19975,36 months,BAT224923,10.99,B,B2,Controller,1 year,MORTGAGE,103000,Source Verified,n,> Debt consilidation<br>,home_improvement,Home improvement,142xx,NY,15.92,0,1,34,27,23,1,35274,51.3,46,f,2870.02,0,0,0,0,34,INDIVIDUAL,NULL,87th week,0,0,312245,68800,1
64667510,31,4450,4450,4450,36 months,BAT4271519,18.55,E,E2,LOGISTICS CLERK,< 1 year,RENT,35000,Verified,n,NULL,debt_consolidation,Debt consolidation,144xx,NY,11.76,1,1,34,78,8,1,2649,57,17,f,197.43,0,0,0,0,19,INDIVIDUAL,NULL,13th week,0,0,103932,4650,0
18583913,29,19875,19875,19775,60 months,NULL,22.15,E,E5,NULL,n/a,MORTGAGE,55000,Verified,n,NULL,debt_consolidation,Debt consolidation,672xx,KS,21.14,0,3,31,90,11,1,17471,66.2,32,f,730.33,0,0,0,0,31,INDIVIDUAL,NULL,9th week,0,0,264033,26400,0
42354801,41,10000,10000,10000,36 months,NULL,12.99,C,C2,Equipment and Facility Manager,10+ years,MORTGAGE,70000,Verified,n,NULL,debt_consolidation,Debt consolidation,800xx,CO,2.73,0,2,51,46,5,1,6190,68.8,15,f,1035.67,0,0,0,0,51,INDIVIDUAL,NULL,48th week,0,0,234813,9000,0
37858208,32,19475,19475,19475,60 months,NULL,25.89,G,G3,manager,9 years,MORTGAGE,50500,Source Verified,n,NULL,debt_consolidation,Debt consolidation,420xx,KY,21.36,0,1,78,64,13,2,14142,59.9,24,w,5111.46,0,0,0,0,81,INDIVIDUAL,NULL,56th week,0,0,28124,23600,0
21278212,37,22075,22075,22075,60 months,NULL,18.24,D,D5,Planning Engineer,1 year,RENT,70000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,925xx,CA,17.8,0,0,81,74,12,1,5152,49.5,28,f,5728.6,0,0,0,0,81,INDIVIDUAL,NULL,83th week,0,0,21366,10400,0
41241223,42,12000,12000,12000,60 months,BAT4694572,14.31,C,C4,Owner,8 years,RENT,64000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,245xx,VA,7.41,1,0,15,50,8,4,3946,30.6,29,f,1580.25,0,0,0,0,15,INDIVIDUAL,NULL,52th week,0,0,6643,12900,0
46436588,31,15000,15000,15000,60 months,BAT4136152,13.99,C,C4,Sr. Quality Assurance Project Lead,10+ years,MORTGAGE,49000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,448xx,OH,22.34,1,0,15,56,18,2,13293,49.1,34,w,1487.13,0,0,0,0,15,INDIVIDUAL,NULL,39th week,0,0,89264,27100,0
71272210,41,17675,17675,17675,36 months,BAT2803411,18.2,E,E1,line coordinator,1 year,MORTGAGE,52000,Verified,n,NULL,debt_consolidation,Debt consolidation,490xx,MI,19.92,0,0,58,95,8,1,7322,58.1,13,f,250.2,0,0,0,0,58,INDIVIDUAL,NULL,4th week,0,0,17137,12600,0
8069053,56,7000,7000,7000,36 months,BAT5525466,18.25,D,D2,EMC,3 years,MORTGAGE,130000,Verified,n,NULL,debt_consolidation,Debt consolidation,080xx,NJ,9.47,0,4,35,79,7,1,2432,34.3,13,f,959.34,0,0,0,0,71,INDIVIDUAL,NULL,43th week,0,0,53214,7100,1
55387945,54,14400,14400,14400,60 months,NULL,18.25,E,E1,Flight Attendant,10+ years,MORTGAGE,77000,Source Verified,n,NULL,home_improvement,Home improvement,302xx,GA,4.86,2,1,10,34,15,6,8868,35.2,23,w,1455.11,0,0,0,0,44,INDIVIDUAL,NULL,31th week,0,12834,22493,25200,0
27178858,41,9600,9600,9600,36 months,BAT2333412,16.99,D,D3,Teacher,7 years,RENT,60000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,678xx,KS,17.66,0,6,59,66,9,2,6283,72.2,19,f,1799.95,0,0,0,0,67,INDIVIDUAL,NULL,74th week,0,0,47689,8700,0
59439821,40,28000,28000,28000,60 months,BAT3873588,9.99,B,B3,VP of Sales,10+ years,MORTGAGE,150000,Source Verified,n,NULL,credit_card,Credit card refinancing,469xx,IN,9.08,0,0,68,62,13,4,17070,30.6,29,w,1104.06,0,0,0,0,68,INDIVIDUAL,NULL,22th week,0,0,250014,55700,0
64668349,50,33500,33500,33475,60 months,BAT4271519,27.31,G,G2,flight atendant,10+ years,OWN,100000,Verified,n,NULL,debt_consolidation,Debt consolidation,303xx,GA,12.4,0,1,30,117,10,1,9442,55.2,15,f,2243.45,0,0,0,1,30,INDIVIDUAL,NULL,17th week,0,276,217322,17100,0
17001380,40,9500,9500,9500,36 months,BAT3461431,13.98,C,C3,Stock Servicer,9 years,MORTGAGE,57000,Not Verified,n,NULL,home_improvement,Home improvement,458xx,OH,9.12,0,2,65,37,4,1,1926,55,14,w,1644.58,0,0,0,0,90,INDIVIDUAL,NULL,83th week,0,0,89900,3500,0
68680938,27,15000,15000,15000,36 months,NULL,9.17,B,B2,press operator,10+ years,RENT,88000,Source Verified,n,NULL,credit_card,Credit card refinancing,902xx,CA,3.6,0,0,62,51,7,2,11194,38.2,19,w,145.19,0,0,0,0,62,INDIVIDUAL,NULL,9th week,0,5745,11194,29300,0
49872709,60,6000,6000,6000,36 months,BAT1104812,6.39,A,A2,RN Case Manager,10+ years,MORTGAGE,89000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,272xx,NC,14.63,0,0,26,116,16,1,13606,55.1,23,w,230.62,0,0,0,0,49,INDIVIDUAL,NULL,39th week,0,0,231330,24700,0
43500468,28,6900,6900,6900,36 months,NULL,17.86,D,D5,owner,2 years,RENT,54900,Not Verified,n,NULL,other,Other,077xx,NJ,14.03,0,3,68,64,11,1,2619,36.9,17,f,646.43,0,0,0,0,68,INDIVIDUAL,NULL,26th week,0,0,10882,7100,1
66322831,52,18000,18000,18000,36 months,BAT2252229,13.33,C,C3,Buyer,10+ years,OWN,64000,Source Verified,n,NULL,credit_card,Credit card refinancing,986xx,WA,20.63,0,1,26,79,19,1,14325,64.2,52,f,559.5,0,0,0,0,78,INDIVIDUAL,NULL,13th week,0,0,39439,22300,0
72449602,37,15000,15000,15000,36 months,BAT2803411,11.22,B,B5,Database Supervisor,10+ years,OWN,75000,Verified,n,NULL,debt_consolidation,Debt consolidation,891xx,NV,9.68,1,2,5,48,18,1,20731,48.9,28,w,0,0,0,0,0,5,INDIVIDUAL,NULL,NAth week,0,4926,20731,42400,0
